
 Tiempo=0.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=0.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=0.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=0.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=1.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=1.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=1.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=1.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=2.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=2.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=2.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=2.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=3.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=3.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=3.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=3.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=4.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=4.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=4.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=4.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=5.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=5.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=5.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=5.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=6.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=6.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=6.500000, -nan, -nan, -nan, -nan , -nan , -nan
